Carrier,City,State
Verizon,Los Angeles, CA
Verizon,Sacramento, CA
Verizon,Indianapolis, IN
Verizon,Houston, TX
Verizon,Denver, CO
Verizon,Washington D.C.,DC
Verizon,Miami, FL
Verizon,Atlanta, GA
Verizon,Brockton, MA
Verizon,Ann Arbor, M
Verizon,Bernardsville, NJ
Verizon,Dallas, TX
Verizon,Seattle, WA
AT&T,Jacksonville, FL
AT&T,Atlanta, GA
AT&T,Indianapolis, IN
AT&T,Louisville, KY
AT&T,New Orleans, LA
AT&T,Charlotte, NC
AT&T,Raleigh, NC
AT&T,Oklahoma City, OK
AT&T,Dallas, TX
AT&T,Houston, TX
AT&T,San Antonio, TX
AT&T,Waco, TX
AT&T,San Jose, CA
AT&T,San Francisco, CA
AT&T,San Diego, CA
AT&T,Orlando, FL
AT&T,Las Vegas, NV
AT&T,Nashville, TN
AT&T,San Antonio, TX
T-Mobile,Los Angeles, CA
T-Mobile,Las Vegas, NV
T-Mobile,New York, NY
T-Mobile,Dallas, TX
T-Mobile,Phoenix, AZ
T-Mobile,Los Angeles, CA
T-Mobile,Washington D.C.,DC
T-Mobile,Atlanta, GA
T-Mobile,Chicago, IL
T-Mobile,Kansas City, MI
T-Mobile,New York, NY
T-Mobile,Dallas, TX
T-Mobile,Houston, TX
